filename,RMSE mf,RMSE nisf,RMSE sf,RMSE sfTP,T,WRMSE mf,WRMSE nisf,WRMSE sf,WRMSE sfTP,fieldNum,velVariance
MSE_0.2_fieldMeas_0_T4_0.1.txt,7.526745788065406,7.734842417961393,7.542178797364447,7.5097904184134725,4,0.01487062,1.33799181,0.09890032,0.31922358,0,0.1
MSE_0.2_fieldMeas_0_T4_0.2.txt,5.571042162095537,5.654605676591732,5.811382686638432,5.6910241176231935,4,9.91455272e-05,2.95613539e-07,0.12966036,0.13825654,0,0.2
MSE_0.2_fieldMeas_0_T4_0.txt,7.575596358218609,7.547659143729082,7.577185384822679,7.5693449443765415,4,0.02436096,2.60355894e-10,0.12705427,0.12797402,0,0.0
MSE_0.2_fieldMeas_0_T5_0.0.txt,4.7079104523626,4.70774640274022,4.7076649993963064,4.707807006803638,5,0.07568414,1.76776134e-05,0.08293352,0.0828331,0,0.0
MSE_0.2_fieldMeas_0_T5_0.1.txt,6.6061978758746465,6.739122923658494,6.869596452387849,6.656727277714862,5,0.00163216,4.40281367e-05,0.10335349,0.1558119,0,0.1
MSE_0.2_fieldMeas_0_T5_0.2.txt,6.243829452240817,6.369462646538937,6.373869291884485,6.120890728015097,5,0.00030026,3.57189177e-11,0.0750064,0.083734,0,0.2
MSE_0.2_fieldMeas_0_T6_0.2.txt,7.504224297525839,7.503438300099589,7.505015796355221,7.493936676940622,6,0.15797614,1.32629433e-05,0.20185596,0.2611744,0,0.2
MSE_0.2_fieldMeas_0_T6_0.txt,4.4469511306293565,4.449514379980098,4.4528963545941505,4.432669349924404,6,0.01381897,4.67152501e-09,0.05550197,0.05541767,0,0.0
MSE_0.2_fieldMeas_0_T7_0.1.txt,22.275782913630195,22.8701504128286,22.48382194976452,22.15862354637841,7,0.58986749,1.00123231e-07,2.38680266,2.80491333,0,0.1
MSE_0.2_fieldMeas_0_T7_0.2.txt,3.9899437800655573,3.9678577980242054,3.9882758493454133,3.982358305139929,7,0.00570231,8.26684097e-06,0.06227938,0.06986476,0,0.2
MSE_0.2_fieldMeas_0_T7_0.txt,11.075514237816721,11.076298169421253,11.076699460086232,11.092546984274966,7,0.47958841,6.39283144e-08,0.64491893,0.64683228,0,0.0
MSE_0.2_fieldMeas_0_T8_0.0.txt,5.440168960975504,5.446020172021911,5.4414547770901,5.448074462972176,8,0.05438122,0.00699316,0.13632726,0.25372631,0,0.0
MSE_0.2_fieldMeas_0_T8_0.1.txt,7.221019040000707,7.734842417961393,7.238724946528894,7.154698896064915,8,0.0012832,1.33778999,0.1293792,0.12922495,0,0.1
MSE_0.2_fieldMeas_0_T8_0.2.txt,7.058861597724956,7.0490100550286146,7.125083732488472,7.119447636964802,8,0.00090191,4.96257923e-11,0.11936098,0.11694645,0,0.2
MSE_0.2_fieldMeas_0_T9_0.1.txt,7.647151350391728,7.645022609473079,7.646697954473138,7.643437146661487,9,0.09184677,7.21504869e-11,0.18453293,0.17920473,0,0.1
MSE_0.2_fieldMeas_0_T9_0.2.txt,6.678752300399262,6.729365109786555,6.731433874152298,6.616629703789724,9,0.00076813,6.94750397e-11,0.11650079,0.11703804,0,0.2
MSE_0.2_fieldMeas_0_T9_0.txt,0.10498114815610542,0.1017571987263581,0.10157272011031374,0.10500085360886766,9,6.50276665e-06,3.0258768e-15,7.54090679e-06,7.55269492e-06,0,0.0
MSE_0.2_fieldMeas_5_T0_0.1.txt,0.5424117957995837,0.5448039143857122,0.5494286039119278,0.5315303692136443,0,0.00033411,6.45480131e-13,0.00109482,0.00110793,5,0.1
MSE_0.2_fieldMeas_5_T0_0.2.txt,19.003018263696212,19.061694611544432,18.966069853665804,19.160620570271846,0,0.01120008,2.47059898e-12,1.6378207,2.13006014,5,0.2
MSE_0.2_fieldMeas_5_T0_0.txt,0.8261555095154405,0.7589947319930849,0.8227562852985207,0.822318681306841,0,0.00019082,3.85951831e-13,0.00265559,0.00255214,5,0.0
MSE_0.2_fieldMeas_5_T1_0.1.txt,1.3779076517009594,1.3314632804110764,1.368657412973627,1.3144187244473078,1,0.00019815,6.60891014e-13,0.00869228,0.00870402,5,0.1
MSE_0.2_fieldMeas_5_T1_0.2.txt,7.6602160400039585,7.4920100944985455,7.323310220219037,7.7559208937969855,1,0.0001945,9.73088831e-13,0.16320504,0.19432692,5,0.2
MSE_0.2_fieldMeas_5_T1_0.txt,7.782423330289903,7.78322044334702,7.7822840055239695,7.799019842605861,1,0.21356536,3.49466889e-11,0.31228748,0.31268,5,0.0
MSE_0.2_fieldMeas_5_T2_0.1.txt,15.292179211086465,15.373086134633036,15.202050833233933,15.234043463639283,2,0.0625688,9.01222754e-12,1.03397582,1.07527308,5,0.1
MSE_0.2_fieldMeas_5_T2_0.2.txt,0.7632705166502183,0.7627993292445536,0.7641465909829444,0.761997879790072,2,0.00286155,3.83782206e-13,0.00353044,0.00376454,5,0.2
MSE_0.2_fieldMeas_5_T2_0.txt,4.7135650585027875,4.708836590531712,4.714540059077865,4.677527018853647,2,0.01289095,2.59566515e-11,0.11139087,0.11058045,5,0.0
MSE_0.2_fieldMeas_5_T3_0.1.txt,3.0370868166072706,2.90137121483541,2.9013624251810293,2.9692195762025775,3,5.53414831e-05,2.30686466e-12,0.03241319,0.0340016,5,0.1
MSE_0.2_fieldMeas_5_T3_0.2.txt,0.6652151992861578,0.7222358101866562,0.6656935859073189,0.6418825451657146,3,1.523137e-05,7.22015469e-09,0.0015794,0.00141127,5,0.2
MSE_0.2_fieldMeas_5_T3_0.txt,10.785637829121232,10.783864959185667,10.785599764118793,10.799457729842747,3,0.05855164,5.77219389e-11,0.5924704,0.59257354,5,0.0
MSE_0.2_fieldMeas_5_T4_0.1.txt,1.4958288929650685,1.4215127368958935,1.4196660919836757,1.4914150517828257,4,0.00106451,1.18350989e-12,0.00943213,0.0115527,5,0.1
MSE_0.2_fieldMeas_5_T4_0.2.txt,6.795030683498652,6.79028362228906,6.797927620724565,6.829429122765173,4,0.00629778,1.15793181e-11,0.19176476,0.23320878,5,0.2
